VENDEDOR;Comuna;Calle;Numero;Nodo;Cuadrante;Fono;Cable;Inet;Prem;Rut;Nombre;Deuda $;Deuda $
JVALDC;Maipu;LONGOVILO 16994    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16988    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 17006    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 17000    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16987    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16999    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16993    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 17005    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16975    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16981    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16969    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16976    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16982    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16970    ;522548;92;2;;;;;;;;
JVALDC;Maipu;LONGOVILO 16958    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16994    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16988    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16982    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16976    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16975    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16981    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16987    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 2 16993    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 1 16994    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 1 16988    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 1 16982    ;522548;92;2;;;;;;;;
JVALDC;Maipu;PJE ESDRAS 1 16976    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1030    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1026    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1022    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1018    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1042    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1038    ;522548;92;2;;;;;;;;
JVALDC;Maipu;EL SAMARITANO 16975    ;522548;92;2;;;;;;;;
JVALDC;Maipu;EL SAMARITANO 16981    ;522548;92;2;;;;;;;;
JVALDC;Maipu;EL SAMARITANO 17005    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1006    ;522548;92;2;;;;;;;;
JVALDC;Maipu;ESDRAS 1010    ;522548;92;2;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3233    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3173    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3197    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3229    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3189    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3181    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3269    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3221    ;522550;103;3;;;;;;;;
JVALDC;Maipu;LA GALAXIA 3164    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3257    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3237    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3201    ;522550;103;3;;;;;;;;
JVALDC;Maipu;EL CONQUISTADOR 3241    ;522550;103;3;;;;;;;;
